id,francais,base_verbale,preterit,participe_passe,niveau
0,venir,come,came,come,1
1,se_conformer_à,abide,abode,abode,3
2,survenir,arise,arose,arisen,2
3,se_reveiller,be,was-were,been,1
4,porter,bear,bore,born-borne,3
5,battre,beat,beat,beaten,1
6,devenir,become,became,become,1
7,engendrer,beget,begat-begot,begotten,3
8,commmencer,begin,began,begun,1
9,plier,bend,bent,bent,1
10,parier,bet,bet,bet,1
11,offrir,bid,bid-bade,bid-bidden,2
12,mordre,bite,bit,bitten,1
13,saigner,bleed,bled,bled,2
14,souffler,blow,blew,blown,2
15,casser,break,broke,broken,1
16,elever(animaux),breed,bred,bred,3
17,apporter,bring,brought,brought,2
18,diffuser,broadcast,broadcast,broadcast,1
19,construire,build,built,built,1
20,bruler,burn,burnt,burnt,1
21,éclater,burst,burst,burst,2
22,acheter,buy,bought,bought,1
23,pouvoir,can,could,could,1
24,jeter,cast,cast,cast,3
25,attraper,catch,caught,caught,1
26,choisir,choose,chose,chose,1
27,s'accrocher,cling,clung,clung,3
28,prêter,lend,lent,lent,2
29,couter,cost,cost,cost,1
30,ramper,creep,crept,crept,3
31,couper,cut,cut,cut,1
32,distribuer,deal,dealt,dealt,2
33,creuser,dig,dug,dug,1
34,plonger,dive,dived,dived-dove,3
